Country,Latitude,Longitude
Zimbabwe,-19.098,30.047
Vietnam,21.75,105.373
Venezuela,6.983,-64.588
United States,40.079,-98.816
United Kingdom,52.289,-1.259
United Arab Emirates,23.93,53.903
Ukraine,49.364,32.132
Turkey,39.144,34.188
Thailand,15.688,100.845
Tanzania,-5.651,34.146
Taiwan,23.609,120.835
Switzerland,46.779,8.033
Sweden,66.219,19
St. Kitts and Nevis,17.147,-62.58
Spain,40.617,-3.388
South Korea,36.338,128.16
South Africa,-31.7,23.441
Slovakia,48.86,19.443
Singapore,1.339,103.83
Russia,64.736,104.062
Romania,45.933,25.119
Qatar,25.317,51.152
Portugal,40.957,-7.937
Poland,52.442,19.72
Philippines,17.181,121.256
Peru,-12.664,-72.98
Oman,19.85,56.25
Norway,61.37,9.303
Nigeria,9.342,7.678
New Zealand,-42.558,172.377
Netherlands,52.17,5.01
Nepal,28.211,83.561
Morocco,31.129,-7.355
Monaco,43.738,7.424
Mexico,22.925,-101.68
Malaysia,4.416,102.099
Macau,22.14,113.564
Liechtenstein,47.159,9.547
Lebanon,34.161,36.021
Kazakhstan,48.866,69.772
Japan,35.962,137.855
Italy,44.371,11.108
Israel,30.992,34.834
Ireland,53.214,-7.588
Indonesia,-0.739,114.045
India,22.741,78.236
Iceland,64.826,-18.417
Hungary,47.174,19.618
Hong Kong,22.411,114.06
Guernsey,49.463,-2.583
Greece,39.787,21.617
Germany,51.382,9.988
Georgia,42.05,43.576
France,46.656,2.543
Finland,62.716,26.192
Eswatini (Swaziland),26.5225,31.4659
Estonia,58.777,25.977
Egypt,26.16,28.742
Denmark,56.113,9.096
Czech Republic,49.848,15.281
Cyprus,34.894,32.928
Colombia,3.794,-73.606
China,35.175,99.388
Chile,-23.176,-69.201
Canada,59.207,-111.194
Bulgaria,42.625,24.521
Brazil,-11.694,-48.978
Belize,17.108,-88.744
Belgium,50.675,4.459
Barbados,13.19,-59.559
Bangladesh,24.598,90.196
Austria,47.65,14.705
Australia,-24.578,133.582
Armenia,40.56,44.449
Argentina,-33.166,-64.31
Algeria,28.605,2.64
Viet Nam,21.75,105.373
Uzbekistan,41.757,63.958
Uruguay,-32.948,-56.249
Turks and Caicos Islands,21.778,-71.759
Türkiye,39.144,34.188
Tanzania (United Republic of),-5.651,34.146
Russian Federation,64.736,104.062
Luxembourg,49.671,6.113
Latvia,57.017,25.017
Korea (Republic of),36.338,128.16
"Hong Kong, China (SAR)",22.411,114.06
Eswatini (Kingdom of),26.5225,31.4659
Czechia,49.848,15.281
Cayman Islands,19.33,-81.172
Cambodia,12.69,104.444
British Virgin Islands,18.42,-64.64
Bermuda,32.302,-64.774
Bahrain,26.025,50.553
Bahamas,24.703,-78.046
Andorra,42.543,1.589